US,,Èesky,Comments/Correction
(keypad) *,,"klávesa * na numerické klávesnici, klávesa num. *",
(keypad) +,,"klávesa + na numerické klávesnici, klávesa num. +",
(keypad) -,,"klávesa - na numerické klávesnici, klávesa num. -",
(keypad) /,,"klávesa / na numerické klávesnici, klávesa num. /",
About,,Co je XXX (o),? O aplikaci
About Help...,,O aplikaci Nápovìda... (o),
access key,,pøístupová klávesa,
Accessories,,Pøíslušenství,
active window,,aktivní okno,
Active Window,,Aktivní okno (a),
Add,,Pøidat,
Add Echo,,Pøidat ozvìnu (p),
Alignment...,,Zarovnání... (r),
All,,Vše (v),
ALT,,klávesa ALT,
ALT GR,,klávesa ALT GR,
Always on Top,,Vždy na vrchu (v),Vždy navrchu
Annotate...,,Anotace...,
application icon,,ikona aplikace,
Applications,,Aplikace,
application window,,okno aplikace,
Apply,,"Provést, Použít",
arrange,,uspoøádat,
Arrange All,,Uspoøádat vše (u),
arrow,,šipka,
arrow pointer,,šipka,
Assign to Key,,Pøiøadit klávese (p),
Assign to Menu,,Vložit do nabídky (v),
automatic link,,automatické propojení,
autoscroll,,automatický posun,
Back,,Zpìt (p),
BACKSPACE,,klávesa BACKSPACE
bold,,tuèné (t)
Bookmark,,Záložka (l)
border,,okraj
bottom window border,,dolní okraj okna
BREAK,,klávesa BREAK
browse,,nalistovat
button,,tlaèítko
Calculator,,Kalkulaèka
Calendar,,Diáø
Cancel,,Zrušit
cancel,,zrušit
CAPS LOCK,,klávesa CAPS LOCK
Caps Lock on (CAPS),,CAPS
Cardfile,,Kartotéka
Cascade,,Kaskáda (k)
cascading menu,,kaskádová nabídka
cascading windows,,kaskáda oken
centered,,vystøedìný (e)
Change,,Zmìnit
Character Map,,Mapa znakù
Character...,,Znak... (z)
check,,zaškrtnout
check box,,zaškrtávací pole
checked command,,zaškrtnutý pøíkaz
check mark,,zaškrtnutí (znaèka)
chevrons,,dvojitá šipka vpravo (>>)
choose,,"zvolit, vybrat"
clear,,vymazat
Clear,,Vymazat
Clear All,,Vymazat vše
clear (undo Select),,zrušit oznaèení)
click,,klepnout (na ),
Clipboard,,Schránka,
Clipboard Viewer,,Schránka,
Clock,,Hodiny,
close,,zavøít,
Close,,Zavøít (z),
Close All,,Zavøít vše (v),
collapse,,sbalit,
Collate Copies,,Tøídit  kopie (s),
Column (Col),,Sloupec (Sl.),
combo box,,kombinované pole,
command,,pøíkaz,
command button,,(pøíkazové) tlaèítko ,"v pøípadì, že je nutno odlišit od ""Toggle button"""
command separator,,oddìlovaè pøíkazù,
container application,,pøijímající aplikace,
container document,,pøijímající dokument,
Contents,,Obsah (b)
Control menu,,Ovládací nabídka
Control-menu box,,pole ovládací nabídky
Control Panel,,Ovládací panel
Copies,,Poèet kopií (k)
copy,,kopírovat
Copy,,Kopírovat (k)
Copy...,,Kopírovat... (k)
Copy Special,,Kopírovat jinak
Create,,Vytvoøit
critical message,,kritická zpráva
crop,,oøíznout
cross-hair pointer,,nitkový køíž
CTRL,,klávesa CTRL
CTRL+B (Bold),,CTRL+B
CTRL+C (Copy),,CTRL+C
CTRL+D (Double underline),,CTRL+D
CTRL+E (Center),,CTRL+E
CTRL+I (Italics),,CTRL+I
CTRL+J (Justify),,CTRL+J
CTRL+L (Left align),,CTRL+L
CTRL+R (Right align),,CTRL+R
CTRL+U (Underline),,CTRL+U
CTRL+V (Paste),,CTRL+V
CTRL+W (Word underline),,CTRL+W
CTRL+X (Cut),,CTRL+X
CTRL+Z (Undo),,CTRL+Z
Customize,,"Upravit, Vlastní"
cut,,vyjmout
