(keypad) *,,,NUM *,,KEY,,WIN,Standard,
(keypad) +,,,NUM +,,KEY,,WIN,Standard,
(keypad) -,,,NUM -,,KEY,,WIN,Standard,
(keypad) /,,,NUM /,,KEY,,WIN,Standard,
(keypad) 0-9,,,NUM 0 - NUM 9,,KEY,,WIN,Standard,
"2 MB of RAM required, 4 MB of RAM recommended",,,Minimum 2 MB RAM (4 MB anbefales),,GEN,,WIN,Standard,See PACK.DOC
"3 1/2"" disk Version",,,"3,5""-version",,GEN,,WIN,Standard,See PACK.DOC
"3.5"" high density disk drive",,,"3,5"" high density-diskettedrev",,GEN,,WIN,Standard,See PACK.DOC
35mm slide,,,35mm dias,,GEN,,WIN,Standard,"Note: this format for ""35mm dias"" is NOT recommeded by Dansk Sprognævn (they recommend 35-mm dias). However, Dansk Sprognævn have informed us that this is standard usage, for which reason we have chosen to use it.  "
3rd party X,,,andre computerproducenter/softwareproducenter,,GEN,,WIN,Standard,rewrite acc. to context
"5 1/4"" disk Version",,,"5,25""-version",,GEN,,WIN,Standard,See PACK.DOC
640K conventional plus 256 extended memory,,,640 KB konventionel hukommelse plus 256 KB extended memory,,GEN,,WIN,Standard,See PACK.DOC
800K,,,800 KB,,GEN,,MAC,Standard,Macintosh
"A 5,25"" high-density or 3,5"" disk drive and a hard disk with 9,5 MB available (13 MB recommended)",,,"Et 5,25"" eller 3,5"" high density-diskettedrev og en harddisk med 9,5 MB fri diskplads (13 MB anbefales)",,GEN,,WIN,Standard,See PACK.DOC
A hard disk with 16 MB of available disk space,,,Harddisk med 16 MB fri diskplads,,GEN,,WIN,Standard,See PACK.DOC
a publisher,,,en udgiver,,GEN,,MAC,Standard,Macintosh
About,a,,Om,o,COM,,WIN,Standard,GUI
About Help,a,,Om Hjælp,o,COM,,WIN,Standard,GUI
accelerator key,,,genvejstast,,GEN,,WIN,Standard,"See ""shortcut key""."
Accent acute,,,accent aigu,,GEN,,WIN,Standard,´
Accent circumflex,,,cirkumfleks,,GEN,,WIN,Standard,^
Accent grave,,,accent grave,,GEN,,WIN,Standard,`
access key,,,hurtigtast  ,,GEN,,WIN,Standard,GUI The key that corresponds to an underlined letter on a menu or button (also referred to as a mnemonic or mnemonic access key). = hotkey
accessibility,,,brugervenlighed,,GEN,,WIN,Standard,Making software usable and accessible to the widest range of users.  
Accessories,,,Tilbehør,,GEN,,WIN,Standard,GUI - Windows program group
ACREADME.HLP,,,ACVIGTIG.HLP,,FIL,,WIN,Standard,Access readme
acronym ,,,akronym,,GEN,,WIN,Standard,
action,,,handling,,GEN,,WIN,Standard,
Activate next document window,,,Aktiverer det næste dokumentvindue,,TXT,,WIN,Standard,status bar message
Activate Task List,,,Aktiverer Jobliste,,TXT,,WIN,Standard,status bar message
active,,,aktiv,,GEN,,WIN,Standard,The state when an object is accepting user input.  
active file,,,aktiv fil,,GEN,,WIN,Standard,
active selection,,,aktiv markering,,GEN,,WIN,Standard,
Active Window,,,Aktivt vindue,a,COM,,WIN,Standard,GUI  The window in which the user is currently working.  An active window is typically at the top of the window order and is distinguished by the color of its title bar. Compare inactive window.
acute accent,,,accent aigu,,GEN,,WIN,Standard,
adapter,,,kort,,GEN,,WIN,Standard,"En adapter kan være mange ting: Kort til CD-Rom/FAX/Modem. Eller for at benytte termer, som alle kan forstå: Forlænger til en støvsuger, 220 V enhed til en blender, ja selv til et vaffeljern kan man få en adapter."
Add,,,Tilføj,,BUT,,WIN,Standard,GUI
add ,,,tilføje,,GEN,V,WIN,Standard,
Add Echo,a,,Tilføj ekko,t,COM,,WIN,Standard,GUI
Albania,,,Albanien,,GEN,,WIN,Standard,
Albanian,,,albansk,,GEN,,WIN,Standard,
Alert,,,Advarsel!,,GEN,,WIN,Standard,Alert message
aligned,,,justeret,,GEN,,WIN,Standard,
Alignment,a,,Justering,j,COM,,WIN,Standard,GUI
alignment,,,justering,,GEN,,WIN,Standard,
all,,,alle/alt,,GEN,,WIN,Standard,
All,a,,Alt ,a,OPT,,WIN,Standard,GUI
all caps,,,store bogstaver,,GEN,,WIN,Standard,
All rights reserved.,,,Alle rettigheder forbeholdes.,,TXT,,WIN,Standard,Copyright notice.
allowable,,,tilladelig,,GEN,,WIN,Standard,
alphabetic ,,,alfabetisk,,GEN,,WIN,Standard,
alphanumeric,,,alfanumerisk,,GEN,,WIN,Standard,
alphanumeric sort,,,alfanumerisk sortering,,GEN,,WIN,Standard,
alphanumeric sorting,,,alfanumerisk sortering,,GEN,,WIN,Standard,
ALT,,,ALT,,KEY,,WIN,Standard,GUI
ALT GR,,,ALT GR,,KEY,,WIN,Standard,GUI
ALT+*,,,ALT+*(STJERNE),,KEY,,WIN,Standard,
Alt+Shift+P,,,Alt+Skift+P,,KEY,,WIN,Standard,Page Number/Sidetal
Alt-key combinations,,,ALT-tastkombinationer,,GEN,,WIN,Standard,
alter ,,,ændre,,GEN,V,WIN,Standard,
Always on Top,t,,Altid øverst  ,ø,COM,,WIN,Standard,GUI - Help
Ampersand,,,&-tegn,,GEN,,WIN,Standard,&
an edition,,,en udgave,,GEN,,MAC,Standard,Macintosh
An error occured when loading file.,,,Der opstod en fejl under indlæsning af filen.,,ERR,,WIN,Standard,
AND,,,OG,,FUN,,WIN,Standard,
Angle brackets,,,vinkelparenteser,,GEN,,WIN,Standard,<>
animation,,,animation,,GEN,,WIN,Standard,
Annotate,a,,Anmærk,a,COM,,WIN,Standard,GUI - i Hjælp
anonymous,,,anonym,,GEN,,WIN,Standard,
"Answers to common questions, tips; and guides to terminology, commands, and the keyboard.",,,"Svar på de mest almindelige spørgsmål, nyttige tip og hjælp til Word-termer, kommandoer og tastaturet.",,TXT,,WIN,Standard,Main Help opening screen. See HELP.HLP
antonym,,,antonym,,GEN,,WIN,Standard,
API,,,API,,GEN,,WIN,Standard,"EDB-LEX: ""et API"". (""et interface"")."
Apostrophe,,,apostrof,,GEN,,WIN,Standard,'
Apple Macintosh series,,,Apple Macintosh-serien,,GEN,,WIN,Standard,re: disks. See also DISKETTE.DOC. This is localized. One exception: When it is used in connection with the logo on packages.
Apple menu,,,Apple-menu,,MNU,,WIN,Standard,GUI
Apple menu icon,,,Apple-ikon,,GEN,,WIN,Standard,GUI
application,,,program,,GEN ,,WIN,Standard,"Use ""program"" over ""applikation"" whereever possible. See Danish Style Guide for definition. Base decision on which term to choose on a case-to-case basis. "
application icon,,,programikon,,GEN,,WIN,Standard,GUI
application name,,,programnavn,,GEN,,WIN,Standard,
application window,,,programvindue,,GEN,,WIN,Standard,GUI
application workspace,,,programarbejdsområde,,GEN,,WIN,Standard,GUI
Applications,,,Programmer,,GEN,,WIN,Standard,GUI
Apply,,,Anvend,,BUT,,WIN,Standard,GUI
apply,,,anvende,,GEN,V,WIN,Standard,
applying a font,,,anvende en skrifttype,,GEN,V,WIN,Standard,
applying a style,,,anvende en typografi,,GEN,V,WIN,Standard,
Aqua/Cyan,,,Akvamarin,,GEN,,WIN,Standard,
Arabic,,,arabisk,,GEN,,WIN,Standard,
arbitrary,,,vilkårlig,,GEN,,WIN,Standard,
archive,,,arkiv,,GEN,,WIN,Standard,
arrange,,,arrangere,,GEN,V,WIN,Standard,GUI
Arrange all,a,,Arranger alle ,a,COM,,WIN,Standard,GUI
arrow,,,pil,,GEN,,WIN,Standard,GUI
