%s Object/Link,,%s-object/-koppeling,B/-,COM,,WIN,PUB
(No suggestions),,(Geen suggesties),,TXT,,WIN,PUB
© 1990-1993 Microsoft Corporation. All rights reserved.,,© 1990-1993 Microsoft Corporation. Alle rechten voorbehouden.,,TXT,,WIN,PUB
1 pt,,1 pt,1,OPT,,WIN,PUB
2 pt,,2 pt,2,OPT,,WIN,PUB
4 pt,,4 pt,4,OPT,,WIN,PUB
8 pt,,8 pt,8,OPT,,WIN,PUB
About,,Info,I,BUT,,WIN,PUB
About Microsoft Publisher,,Info,I,COM,,WIN,PUB
About Microsoft Publisher,,Info,,TDB,,WIN,PUB
About Microsoft System Info,,Info,,TDB,,WIN,PUB
Acquire,,Scanner,R,COM,,WIN,PUB
Activate,,Activeren,A,COM,,WIN,PUB
Activate As:,,Activeren als:,A,OPT,,WIN,PUB
Active,,Actief,C,CHX,,WIN,PUB
Actual Size,,Ware grootte,A,COM,,WIN,PUB
Add,,Toevoegen,T,BUT,,WIN,PUB
Advanced,,Geavanceerd,C,BUT,,WIN,PUB
Advanced Options,,Geavanceerde opties,,TDB,,WIN,PUB
After Current Page,,Na actieve pagina,N,OPT,,WIN,PUB
After Paragraphs,,Na alinea's,N,DIA,,WIN,PUB
After right page,,Na rechterpagina,N,OPT,,WIN,PUB
After selected Cells,,Na selectie,N,OPT,,WIN,PUB
Alignment,,Uitlijning,U,DIA,,WIN,PUB
All,,Alle pagina´s,A,OPT,,WIN,PUB
All Capitals,,HOOFDLETTERS,F,CHX,,WIN,PUB
All Colors to Black,,Alle kleuren naar zwart,Z,CHX,,WIN,PUB
All rights reserved.,,Alle rechten voorbehouden.,,TXT,,WIN,PUB
Apply,,Toepassen,T,BUT,,WIN,PUB
Arrowheads,,Pijlpunten,,DIA,,WIN,PUB
As:,,Als:,A,DIA,,WIN,PUB
"ATM and Adobe Type Manager are trademarks of Adobe Sytems, Inc. and are possibly registered in some regions.",,"ATM en Adobe Type Manager zijn handelsmerken van Adobe Sytems, Inc. en zijn mogelijk geregistreerd in bepaalde landen.",,TXT,,WIN,PUB
Autoformat,,Automatische opmaak,A,COM,,WIN,PUB
Autoformat,,Automatische opmaak,,TDB,,WIN,PUB
Automatic,,Automatisch,A,OPT,,WIN,PUB
Automatically hyphenate By Default,,Automatisch afbreken,U,CHX,,WIN,PUB
Automatically hyphenate this story,,Woorden automatisch afbreken,W,OPT,,WIN,PUB
Automatically Launch for Every Publication,,Automatisch weergeven in elke publikatie,A,CHX,,WIN,PUB
Automatically Use Smart Quotes,,Automatisch gekrulde aanhalingstekens gebruiken,A,CHX,,WIN,PUB
Available Borders:,,Beschikbare kaderillustraties:,B,DIA,,WIN,PUB
Background :,,Achtergrond:,A,DIA,,WIN,PUB
Backup,,Reservekopie,R,CHX,,WIN,PUB
Banner Height:,,Spandoekhoogte:,O,TXB,,WIN,PUB
Banner Width:,,Spandoekbreedte:,B,TXB,,WIN,PUB
Before Current Page,,Voor actieve pagina,V,OPT,,WIN,PUB
Before left page,,Voor linkerpagina,V,OPT,,WIN,PUB
Before Paragraphs,,Voor alinea's,V,DIA,,WIN,PUB
Before selected Cells,,Voor selectie,V,OPT,,WIN,PUB
Between Lines,,Tussen regels,T,DIA,,WIN,PUB
Between Pages,,Tussen pagina's,T,OPT,,WIN,PUB
"Bitstream© is a registered trademark and Facelift is a trademark of Bitstream, Inc.",,"Bitstream© is een geregistreerd handelsmerk en Facelift is een handelsmerk van Bitstream, Inc.",,TXT,,WIN,PUB
Border,,Rand,,TDB,,WIN,PUB
Border ,,Rand,R,COM,,WIN,PUB
Border Size:,,Kaderbreedte:,K,TXB,,WIN,PUB
BorderArt,,Kaderillustratie,,TDB,,WIN,PUB
BorderArt ,,Kaderillustratie,D,COM,,WIN,PUB
Borders,,Randen,N,CHX,,WIN,PUB
Both,,Beide,B,OPT,,WIN,PUB
Both Pages,,Beide pagina's,B,OPT,,WIN,PUB
Bottom :,,Onder:,O,TXB,,WIN,PUB
Bottom Edges,,Onderrand,O,OPT,,WIN,PUB
Box,,Vak,V,DIA,,WIN,PUB
Bring Closer,,Niveau hoger,H,COM,,WIN,PUB
Bring to Front,,Naar voorgrond,V,COM,,WIN,PUB
Browse,,Bladeren,A,BUT,,WIN,PUB
Browse,,Bladeren,,TDB,,WIN,PUB
Bullet Types,,Type opsommingsteken,,DIA,,WIN,PUB
Bulleted list,,Lijst met opsommingstekens,O,OPT,,WIN,PUB
By this Amount:,,Afstand:,F,OPT,,WIN,PUB
Cancel Link,,Annuleren,N,BUT,,WIN,PUB
Center,,Centreren,C,OPT,,WIN,PUB
Centers,,Midden,M,OPT,,WIN,PUB
Change,,Wijzigen,W,BUT,,WIN,PUB
Change All,,Alles wijzigen,Z,BUT,,WIN,PUB
Change Hypenation Zone To:,,Afbreekzone wijzigen in:,W,OPT,,WIN,PUB
Change Icon,,Pictogram wijzigen,W,BUT,,WIN,PUB
Change Icon,,Pictogram wijzigen,,TDB,,WIN,PUB
Change Link,,Wijzigen,W,BUT,,WIN,PUB
Change style,,Opmaakprofiel wijzigen,,TDB,,WIN,PUB
Change this style,,Opmaakprofiel wijzigen,P,OPT,,WIN,PUB
Change To:,,Wijzigen in:,I,OPT,,WIN,PUB
Character,,Teken,,TDB,,WIN,PUB
Character ,,Teken,E,COM,,WIN,PUB
Character Properties,,Tekeneigenschappen,E,CHX,,WIN,PUB
Character type and size,,Lettertype en -grootte,E,OPT,,WIN,PUB
Check All Stories,,Alle verhalen controleren,C,OPT,,WIN,PUB
Check Background Page(s),,Achtergrondpagina(´s) controleren,G,CHX,,WIN,PUB
Check For All Problems,,Alle problemen controleren,A,OPT,,WIN,PUB
Check Layout,,Layout controleren,C,COM,,WIN,PUB
Check Layout,,Layout controleren,,TDB,,WIN,PUB
Check Spelling,,Spelling controleren,S,COM,,WIN,PUB
Check Spelling,,Spelling controleren ,,TDB,,WIN,PUB
Choose A Publication Layout,,Publikatielayout,,DIA,,WIN,PUB
Choose a Publications Size,,Formaat,R,DIA,,WIN,PUB
Choose a Special Fold,,Vouw,W,DIA,,WIN,PUB
Choose a style,,Opmaakprofiel,O,TXB,,WIN,PUB
Choose a Thickness,,Een randdikte selecteren,E,DIA,,WIN,PUB
Choose An Orientation,,Afdrukstand,,DIA,,WIN,PUB
Choose The Style To Change:,,Opmaakprofielnaam:,N,DIA,,WIN,PUB
Clear,,Transparant,,TXT,ADJ,WIN,PUB
Clear Memory per Page,,Geheugen wissen per pagina,U,CHX,,WIN,PUB
Click to,,Opties,,DIA,,WIN,PUB
Click to change,,Wijzigen:,,DIA,,WIN,PUB
Click to change,,Wijzigen:,,DIA,,WIN,PUB
ClipArt Gallery ,,Illustratiegalerie,G,COM,,WIN,PUB
Close,,Sluiten,S,BUT,,WIN,PUB
Close Publication,,Publikatie sluiten,S,COM,,WIN,PUB
Collate Copies,,Sorteren,R,CHX,,WIN,PUB
Color,,Kleur,K,CHX,,WIN,PUB
Color & Style,,Kleur en patroon,,DIA,,WIN,PUB
Color:,,Kleur: ,K,OPT,,WIN,PUB
Column(s),,Kolom(men),K,OPT,,WIN,PUB
Columns,,Kolommen,,DIA,,WIN,PUB
Columns:,,Kolommen:,K,TXB,,WIN,PUB
Compress Bitmaps,,Bitmaps comprimeren,B,CHX,,WIN,PUB
Confirm Each Automatic Hyphen,,Elk automatisch afbreekstreepje bevestigen,E,OPT,,WIN,PUB
Conform to Adobe Document Structuring Convention,,Aan Adobe documentindelingconventie aanpassen,A,CHX,,WIN,PUB
Contents,,Inhoudsopgave,O,COM,,WIN,STANDARD
Continue,,Doorgaan,D,BUT,,WIN,PUB
Convert,,Converteren,C,COM,,WIN,PUB
Convert,,Converteren,,TDB,,WIN,PUB
Convert To:,,Converteren naar:,C,OPT,,WIN,PUB
Copies:,,Aantal:,L,TXB,,WIN,PUB
Copy,,Kopiëren,K,COM,,WIN,STANDARD
Copyright (c) 1990-91 Microsoft Corporation,,Copyright (c) 1990-91 Microsoft Corporation,,TXT,,WIN,PUB
Covered Objects,,Bedekte objecten,B,CHX,,WIN,PUB
Create a new style,,Nieuw opmaakprofiel maken,N,OPT,,WIN,PUB
Create From File:,,Bestaand object:,I,OPT,,WIN,PUB
Create New Publication,,Nieuwe publikatie maken,N,COM,,WIN,PUB
Create New Publication,,Nieuwe publikatie maken,,TDB,,WIN,PUB
Create new style,,Nieuw opmaakprofiel maken,,TDB,,WIN,PUB
