abbreviation,,abréviation,,GEN,N,WIN,Standard,Style Guide,
About,,A propos de,,COM,,WIN,Standard,,
accelerator key,,touche d'accès rapide,,GEN,N,WIN,Standard,"Should not be used in US.  Use ""access key"" instead.",
access key,,touche d'accès rapide,,GEN,N,WIN,Standard,GUI Guide,"The key that corresponds to an underlined or highlighted letter on a menu, command or dialog box option."
accessories,,accessoires,,GEN,N,WIN,Standard,GUI Guide,
acronym,,acronyme,,GEN,N,WIN,Standard,Style Guide,
action bar,,barre de menus,,GEN,N,WIN,Standard,"Should not be used in US.  Use ""menu bar"" instead.",
active window,,fenêtre active,,GEN,,WIN,Standard,GUI Guide,
add,,ajouter,,GEN,V,WIN,Standard,GUI Guide,
add-in,,macro complémentaire,,GEN,N,WIN,Standard,,
add-on,,module complémentaire,,GEN,N,WIN,Standard,,
administer,,administrer,,GEN,V,WIN,Standard,,
administrator,,administrateur,,GEN,N,WIN,Standard,,
Administrator’s Guide,,Guide de l'administrateur,,GEN,,WIN,Standard,As a book/manual title.,
Administrator’s Reference,,Manuel de référence de l'administrateur,,GEN,,WIN,Standard,As a book/manual title.,
alias,,alias ,,GEN,N,WIN,Standard,Check product specific glossary and context,A name or label used as an alternative means of referring to someone or something.
alias ,,pseudonyme,,GEN,N,WIN,Standard,Check product specific glossary and context,A name or label used as an alternative means of referring to someone or something.
Alignment,,alignement ,,DIA,N,WIN,Standard,GUI Guide,
All,,Tout,,DIA,,WIN,Standard,GUI Guide,
alphabetizing,,par ordre alphabétique,,GEN,,WIN,Standard,Style Guide,
ALT,,ALT,,KEY,,WIN,Standard,,
ALT GR,,ALT GR,,KEY,,WIN,Standard,,
Always on Top,,Toujours visible,,COM,,WIN,Standard,GUI Guide,
ampersand,,le signe &,,COM,,WIN,Standard,GUI Guide,
ampersand,,le « et » commercial,,GEN,,WIN,Standard,Style Guide,
Annotate,,Annotation,,COM,V,WIN,Standard,GUI Guide,
apostrophe,,apostrophe,,GEN,N,WIN,Standard,Style Guide,
Apple menu,,menu Pomme,,GEN,,WIN,Standard,,
application,,application,,GEN,N,WIN,Standard,GUI Guide,
application control menu,,menu Système de l'application,,GEN,,WIN,Standard,,"The menu that appears on the top left corner of the window, symbolized by the long hyphen."
application icon,,icône d'application,,GEN,,WIN,Standard,GUI Guide,
application window,,fenêtre d'application,,GEN,,WIN,Standard,GUI Guide,
apply,,appliquer,,GEN,V,WIN,Standard,GUI Guide,
argument,,argument,,GEN,N,WIN,Standard,,
arrange,,réorganiser,,GEN,V,WIN,Standard,GUI Guide,
Arrange All,,Réorganiser,,COM,,WIN,Standard,GUI Guide,
arrow,,flèche,,GEN,N,WIN,Standard,GUI Guide,
arrow key,,touche de direction,,GEN,,WIN,Standard,,"Set of four movement keys, with an up, a down, a left and a right arrow. "
arrow pointer,,pointeur en flèche,,GEN,N,WIN,Standard,"Sould not be used in US.  Use ""pointer"" instead.",
art,,illustration ,,GEN,N,WIN,Standard,Style Guide (check on different usages),
art,, figure,,GEN,N,WIN,Standard,Style Guide (check on different usages),
article,,article,,GEN,N,WIN,Standard,Style Guide,
assign,,affecter,,GEN,V,WIN,Standard,GUI Guide,
automatic link,,liaison automatique,,GEN,N,WIN,Standard,OLE term,"The link between a client document containing a linked object and that object's server applications, while the server is editing the object."
autoscroll,,sélection par défilement,,GEN,N,WIN,Standard,,
Back,,Précédent,,COM,,WIN,Standard,GUI Guide,
back up,,faire une copie de sauvegarde,,GEN,V,WIN,Standard,"To replace ""copie de secours"" from now on",
back-up copy,,copie de sauvegarde,,GEN,N,WIN,Standard,"To replace ""copie de secours"" from now on",
backslash,,barre oblique inverse,,GEN,N,WIN,Standard,,
BACKSPACE ,,RETOUR ARRIERE,,KEY,,WIN,Standard,,
BACKSPACE ,,RET.ARR,,KEY,,WIN,Standard,,
backup,,copie de sauvegarde,,GEN,N,WIN,Standard,"To replace ""copie de secours"" from now on",
backward compatible,,à compatibilité amont,,GEN,,WIN,Standard,Ginguay,
bar code,,code barres / code à barres,,GEN,N,WIN,Standard,,
bit,,bit,,GEN,N,WIN,Standard,,"Short for ""binary digit""; either 1 or 0 in the binary number system."
bitmap,,bitmap / image en mode point,,GEN,N,WIN,Standard,Check w/product & context,
black-and-white,,noir et blanc,,GEN,ADJ,WIN,Standard,,
blank line,,ligne vierge / interligne ,,GEN,N,WIN,Standard,"""interligne"" is masculine",
blank space,,espace / blanc,,GEN,N,WIN,Standard,"""espace"" in this sense is feminine",
block,,bloc,,GEN,N,WIN,Standard,,
blocking,,blocage / groupage,,GEN,N,WIN,Standard,,
bold,,gras,,GEN,ADJ,WIN,Standard,Style Guide,
Bold,,Gras,,OPT,,WIN,Standard,GUI Guide,
book title,,titre de manuel,,GEN,N,WIN,Standard,Style Guide,
Bookmark,,Signet,,COM,,WIN,Standard,,
bookmark,,signet,,GEN,N,WIN,Standard,GUI Guide,
Boolean,,booléen,,GEN,ADJ,WIN,Standard,,
boot,,amorcer,,GEN,V,WIN,Standard,"Avoid this term in English; use ""switch on"", ""start"", ""restart""",
border,,bordure,,GEN,N,WIN,Standard,,
bottom window border,,bordure inférieure de la fenêtre,,GEN,N,WIN,Standard,GUI Guide,
branching ,,branchement,,GEN,,WIN,Standard,,
BREAK,,ATTN,,KEY,,WIN,Standard,,
browse,,parcourir,,GEN,V,WIN,Standard,,To scan a database or list of files 
buffer,,tampon,,GEN,N,WIN,Standard,,
built-in,,incorporé,,GEN,ADJ,WIN,Standard,re. features,
built-in,,intégré,,GEN,ADJ,WIN,Standard,re. hardware,
bullet,,puce,,GEN,N,WIN,Standard,new since Word6,
