"""What-if"" analysis",,"""Was-wäre-wenn-Analyse""",,,GEN,N,WIN,Standard,,
abbreviation,,Abkürzung,,,GEN,N,WIN,Standard,Style Guide,
About,,Info,O,,COM,,WIN,Standard,,
accelerator key; DO NOT USE.,,Zugriffstaste,,,GEN,,WIN,Standard,Use access key or shortcut key instead.,
access key,,Zugriffstaste,,,GEN,N,WIN,Standard,GuiGuide,"The key that corresponds to an underlined or highlighted letter on a menu, command or dialog box option."
accessories,,Zubehör,,,GEN,N,WIN,Standard,GuiGuide,
acronym,,Akronym,,,GEN,N,WIN,Standard,Style Guide,"A word, made up of the intial letters of the word these letters represent; i.e. WYSISYG."
action bar; DO NOT USE,,Menüleiste,,,GEN,,WIN,Standard,use menu bar instead,
active window,,aktives Fenster,,,GEN,,WIN,Standard,"Do not use ""Current Window""","The window containing the display or document that will be affected by all cursor movements, commands and text entry until a new window is chosen."
add,,hinzufügen,,,GEN,V,WIN,Standard,GuiGuide,
add-in,,"Add-In, das",,,GEN,N,WIN,Standard,in Excel so verwendet,
add-on,,"Add-On, das",,,GEN,N,WIN,Standard,,
administer,,verwalten,,,GEN,V,WIN,Standard,Style Guide,
administrator,,Administrator,,,GEN,N,WIN,Standard,Style Guide,
Administrator’s Guide,,Handbuch für Administratoren,,,GEN,,WIN,Standard,As a book/manual title.,
Administrator’s Reference,,Verzeichnis für Administratoren,,,GEN,,WIN,Standard,As a book/manual title.,
alias,,"Alias, der (e)",,,GEN,N,WIN,Standard,better: Alias-Namen,A name or label used as an alternative means of referring to someone or something.
Alignment,,Ausrichtung,A,,DIA,N,WIN,Standard,GuiGuide,
All,,Alles,A,,DIA,,WIN,Standard,GuiGuide,
alphabetizing,,alphabetisch sortieren,,,GEN,,WIN,Standard,Style Guide,
ALT,,ALT,,,KEY,,WIN,Standard,No need to add the word TASTE.,
ALT GR,,ALT GR,,,KEY,,WIN,Standard,,
Always on Top,,Immer im Vordergrund (V),,,COM,,WIN,Standard,GuiGuide,
ampersand,,Und-Zeichen (&),,,GEN,,WIN,Standard,"Im Fliesstext kann es auch, je nach Kontext, als ""kaufmännisches Und"" bezeichnet werden.",
Annotate,,Anmerken,A,,COM,V,WIN,Standard,,
apostrophe,,Apostroph,,,GEN,N,WIN,Standard,Style Guide,
apostrophe,,Hochkomma,,,GEN,N,WIN,Standard,"for single, upper quotes around text",
apple menu,,Apple Menü,,,GEN,,WIN,Standard,"Style Guide; an Apple term, no hyphen",
application,,Anwendung,,,GEN,N,WIN,Standard,GuiGuide,A computer program designed to help people perform a certain type of work.
application,,Anwendungsprogramm,,,GEN,N,WIN,Standard,,
application control menu,,Systemmenü der Anwendung,,,GEN,,WIN,Standard,Press ALT+Spacebar to open this menu.,"The menu that appears on the top left corner of the window, symbolized by the long hyphen."
application icon,,Anwendungssymbol,,,GEN,,WIN,Standard,GuiGuide,
application window,,Anwendungsfenster,,,GEN,,WIN,Standard,GuiGuide,
apply,,anwenden,,,GEN,V,WIN,Standard,GuiGuide,
apply,,zuordnen,,,GEN,V,WIN,Standard,,
argument,,Argument,,,GEN,N,WIN,Standard,Style Guide,
arrange,,anordnen,,,GEN,V,WIN,Standard,GuiGuide,
Arrange All,,Alles anordnen,A,,COM,,WIN,Standard,GuiGuide,
arrow,,Pfeil,,,GEN,N,WIN,Standard,GuiGuide,
Arrow Keys,,PFEILTASTEN,,,KEY,,WIN,Standard,Don't use RICHTUNGSTASTEN.,"Set of four movement keys, with an up, a down, a left and a right arrow. Used, to move the cursor on the screen."
arrow pointer; DO NOT USE,,Zeiger,,,GEN,N,WIN,Standard,"Use ""pointer"" instead.","In graphics-based environments, an on-screen symbol that is controlled by a mouse as means of indicating (and selecting) locations or choices on screen."
art,,Darstellung(en),,,GEN,N,WIN,Standard,,"as in ""illustration"" in a Microsoft manual"
art,,Grafik,,,GEN,N,WIN,Standard,,
art,,Bild,,,GEN,N,WIN,Standard,,
article,,Artikel,,,GEN,N,WIN,Standard,Style Guide,
assigning a device name,,Gerätenamen zuweisen,,,GEN,,WIN,Standard,Style Guide,
authentication,,Echtheit,,,GEN,,WIN,Standard,Duden meeting March 17,
automatic link,,automatische Verknüpfung,,,GEN,,WIN,Standard,OLE-term,"The link between a client document containing a linked object and that object's server applications, while the server is editing the object."
autoscroll,,automatischer Bildlauf,,,GEN,N,WIN,Standard,,
Back,,Zurück,Z,,COM,,WIN,Standard,GuiGuide,
back up,,sichern,,,GEN,V,WIN,Standard,,To make a backup copy.
back-up copy,,Sicherungskopie,,,GEN,N,WIN,Standard,,"A duplicate copy of a program, disk or data."
backslash,,umgekehrter Schrägstrich,,,GEN,N,WIN,Standard,,
BACKSPACE ,,RÜCKTASTE,,,KEY,,WIN,Standard,Style Guide,
backup,,Sicherungskopie,,,GEN,N,WIN,Standard,,"A duplicate copy of a program, disk or data."
backward compatible,,abwärtskompatibel,,,GEN,,WIN,Standard,,
