Abort,,Megszakítás,,BUT,,WIN,WRKS3
Add,,Felvétel,,BUT,,WIN,WRKS3
Add >>,,Hozzáadás >>,,BUT,,WIN,WRKS3
Add All >>,,Mindegyik mezõ >>,,BUT,,WIN,WRKS3
Adjust...,,Igazítás...,,BUT,,WIN,WRKS3
Advanced>>,,Haladó>>,,BUT,,WIN,WRKS3
Apply Now,,Végrehajtás,,BUT,,WIN,WRKS3
Area labels,,Feliratok,,BUT,,WIN,WRKS3
Back,,Vissza,,BUT,,WIN,WRKS3
Cancel,,Mégsem,,BUT,,WIN,WRKS3
Change,,Javítás,,BUT,,WIN,WRKS3
Change All,,Mindet javítja,,BUT,,WIN,WRKS3
Change Envelope,,Boríték módosítása,,BUT,,WIN,WRKS3
Change Label,,Címke módosítása,,BUT,,WIN,WRKS3
Clear,,Törlés,,BUT,,WIN,WRKS3
Close,,Bezárás ,,BUT,,WIN,WRKS3
Communications,,Adatátvitel,,BUT,,WIN,WRKS3
Continue,,Tovább,,BUT,,WIN,WRKS3
Create Envelope,,Boríték készítése,,BUT,,WIN,WRKS3
Create Label,,Címkekészítés,,BUT,,WIN,WRKS3
Custom Label...,,Egyéni címke...,,BUT,,WIN,WRKS3
Database,,adatbázis,,BUT,,WIN,WRKS3
Delete,,Törlés,,BUT,,WIN,WRKS3
Delete All,,Mindent töröl,,BUT,,WIN,WRKS3
Directory...,,Könyvtár...,,BUT,,WIN,WRKS3
Duplicate,,Megkettõzés,,BUT,,WIN,WRKS3
Fields>>,,Mezõk>>,,BUT,,WIN,WRKS3
Find File...,,Fájlkeresés...,,BUT,,WIN,WRKS3
Find Next,,Következõ,,BUT,,WIN,WRKS3
Format,,Formátum,,BUT,,WIN,WRKS3
Format All,,Mind,,BUT,,WIN,WRKS3
Help,,Súgó,,BUT,,WIN,WRKS3
Ignore,,Átlépés,,BUT,,WIN,WRKS3
Ignore All,,Kihagy (mind),,BUT,,WIN,WRKS3
Insert,,Beszúrás,,BUT,,WIN,WRKS3
Instructions,,Útmutató,,BUT,,WIN,WRKS3
Left aligns text,,Balra zárt szöveg,,BUT,,WIN,WRKS3
Legend texts,,Jelmagyarázat,,BUT,,WIN,WRKS3
List,,Lista,,BUT,,WIN,WRKS3
Minitel>>,,Minitel>>,,BUT,,WIN,WRKS3
Modify...,,Módosítás...,,BUT,,WIN,WRKS3
New  Recent Documents,,Új és új keletû dokumentumok,,BUT,,WIN,WRKS3
Next,,Következõ,,BUT,,WIN,WRKS3
Page Setup...,,Oldalformátum...,,BUT,,WIN,WRKS3
Paste,,Beillesztés,,BUT,,WIN,WRKS3
Preview,,Nyomtatási kép,,BUT,,WIN,WRKS3
Previous,,Elõzõ,,BUT,,WIN,WRKS3
Print,,Nyomtatás,,BUT,,WIN,WRKS3
Printer Setup...,,Nyomtatóbeállítás...,,BUT,,WIN,WRKS3
Printer:,,Nyomtató:,,BUT,,WIN,WRKS3
Query View,,Lekérdezés nézet,,BUT,,WIN,WRKS3
Remove,,Eltávolítás,,BUT,,WIN,WRKS3
Remove All,,Egyik sem,,BUT,,WIN,WRKS3
Rename,,Átnevezés,,BUT,,WIN,WRKS3
Replace,,Csere,,BUT,,WIN,WRKS3
Replace All,,Mindet cseréli,,BUT,,WIN,WRKS3
Reset,,Alaphelyzet,,BUT,,WIN,WRKS3
Restore,,Alaphelyzet,,BUT,,WIN,WRKS3
Retry,,Újra,,BUT,,WIN,WRKS3
Set Default,,Alapértelmezés,,BUT,,WIN,WRKS3
Setup...,,Beállítás...,,BUT,,WIN,WRKS3
Skip Welcome Screen,,A kezdõ lépések kihagyása,,BUT,,WIN,WRKS3
Spreadsheet,,Számolótábla,,BUT,,WIN,WRKS3
Start Tutorial,,A Tankönyv fellapozása,,BUT,,WIN,WRKS3
Suggest,,Javaslat,,BUT,,WIN,WRKS3
Template...,,Sablon...,,BUT,,WIN,WRKS3
Test,,Próba,,BUT,,WIN,WRKS3
Use another file...,,Másik fájl...,,BUT,,WIN,WRKS3
Use WorksWizard,,Lábjegyzet Varázsló,,BUT,,WIN,WRKS3
Word Processor,,Szövegszerkesztõ,,BUT,,WIN,WRKS3
Yes,,Igen,,BUT,,WIN,WRKS3
Zoom In,,Nagyítás,,BUT,,WIN,WRKS3
Zoom Out,,Kicsinyítés,,BUT,,WIN,WRKS3
Add gridlines,,Segédvonalak,,CHX,,WIN,WRKS3
Always Suggest,,Mindig javasol,,CHX,,WIN,WRKS3
Auto series labels,,Automatikus adatsor feliratok,,CHX,,WIN,WRKS3
Automatic word selection,,Automatikus szókijelölés,,CHX,,WIN,WRKS3
Average,,Átlag,,CHX,,WIN,WRKS3
backup copy,,másolat,,CHX,,WIN,WRKS3
Best Fit,,Legjobb kitöltés,,CHX,,WIN,WRKS3
Bold,,Félkövér,,CHX,,WIN,WRKS3
Bottom,,Lent,,CHX,,WIN,WRKS3
Bulleted,,Felsorolásjelzõ,,CHX,,WIN,WRKS3
Confirm,,Megerõsítés,,CHX,,WIN,WRKS3
Count,,Darabszám,,CHX,,WIN,WRKS3
Cue Cards,,Kalauzok,,CHX,,WIN,WRKS3
Do not reduce,,Egyszerûsítés nélkül,,CHX,,WIN,WRKS3
Draft quality printing,,Vázlatos nyomtatás,,CHX,,WIN,WRKS3
Drag and drop,,Szerkesztés húzással,,CHX,,WIN,WRKS3
Enable Tool Tips,,Magyarázat,,CHX,,WIN,WRKS3
Explode Slice,,Szelet kivágása,,CHX,,WIN,WRKS3
Helpful mouse pointers,,Szemléletes egérmutatók,,CHX,,WIN,WRKS3
Hyphenate CAPS,,Nagybetûs szavak elválasztása,,CHX,,WIN,WRKS3
Ignore Parity,,Paritás nélkül,,CHX,,WIN,WRKS3
Italic,,Dõlt,,CHX,,WIN,WRKS3
Left,,Balra,,CHX,,WIN,WRKS3
Line Between,,Elválasztó vonal,,CHX,,WIN,WRKS3
Local echo,,Helyi visszhang,,CHX,,WIN,WRKS3
Locked,,Zárolt,,CHX,,WIN,WRKS3
Make,,Biztonsági,,CHX,,WIN,WRKS3
Match Case,,Kis- és nagybetûk megkülönböztetése,,CHX,,WIN,WRKS3
Match Whole Word Only,,Teljes szó keresése,,CHX,,WIN,WRKS3
Maximum,,Maximum,,CHX,,WIN,WRKS3
Minimum,,Minimum,,CHX,,WIN,WRKS3
Negative numbers in red,,Vörös negatív számok,,CHX,,WIN,WRKS3
No footer on 1st page,,Lábléc nélküli 1. oldal,,CHX,,WIN,WRKS3
No header on 1st page,,Fejléc nélküli 1. oldal,,CHX,,WIN,WRKS3
No Horizontal Axis,,Nincs vízszintes tengely,,CHX,,WIN,WRKS3
No Totals,,Nincs összesítés,,CHX,,WIN,WRKS3
No Vertical Axis,,Nincs függõleges tengely,,CHX,,WIN,WRKS3
Outline,,Kontúr,,CHX,,WIN,WRKS3
Overtype,,Átírás,,CHX,,WIN,WRKS3
Page breaks between records,,Oldaltörés a rekordok között,,CHX,,WIN,WRKS3
Print all but record rows,,Rekordsorok nélkül,,CHX,,WIN,WRKS3
Print field lines,,Mezõsorok nyomtatása,,CHX,,WIN,WRKS3
Print footnotes at end,,Lábjegyzet nyomtatása,,CHX,,WIN,WRKS3
Print gridlines,,Cellarács nyomtatása,,CHX,,WIN,WRKS3
Print merge,,Körlevél,,CHX,,WIN,WRKS3
Print record and field labels,,Rekord- és mezõfeliratok,,CHX,,WIN,WRKS3
Print row and column headers,,Sor- és oszlopfejlécek nyomtatása,,CHX,,WIN,WRKS3
Printer's envelope,,Borítékadagoló,,CHX,,WIN,WRKS3
Protect Data,,Adatvédelem,,CHX,,WIN,WRKS3
Protect Form,,Ûrlapvédelem,,CHX,,WIN,WRKS3
Read Only,,Csak olvasható,,CHX,,WIN,WRKS3
Right,,Jobbra,,CHX,,WIN,WRKS3
Show Droplines,,Esésvonalak,,CHX,,WIN,WRKS3
Show Gridlines,,Segédvonalak,,CHX,,WIN,WRKS3
Show Instructions,,Kalauzok,,CHX,,WIN,WRKS3
Show status bar,,Állapotsor,,CHX,,WIN,WRKS3
Skip capitalized words,,Nagybetûs szavak kihagyása,,CHX,,WIN,WRKS3
Slide to left,,Balra csúsztatás,,CHX,,WIN,WRKS3
Standard Deviation,,Szórás,,CHX,,WIN,WRKS3
Strikethrough,,Áthúzott,,CHX,,WIN,WRKS3
Sum,,Összeg,,CHX,,WIN,WRKS3
Top,,Fent,,CHX,,WIN,WRKS3
Typing replaces selection,,Kijelölt szöveg felülírása,,CHX,,WIN,WRKS3
Underline,,Aláhúzott,,CHX,,WIN,WRKS3
Use 3-D dialogs,,3-D párbeszédpanelek,,CHX,,WIN,WRKS3
Use header and,,Fej- és lábléc,,CHX,,WIN,WRKS3
Use Logarithmic Scale,,Logaritmikus skála,,CHX,,WIN,WRKS3
Use saved workspace,,Mentett munkaterület betöltése,,CHX,,WIN,WRKS3
Use series data,,Adatsor alapján,,CHX,,WIN,WRKS3
Variance,,Variancia,,CHX,,WIN,WRKS3
Wrap around,,Sortörés,,CHX,,WIN,WRKS3
Wrap text,,Sortörés,,CHX,,WIN,WRKS3
3-D Area...,,3D sáv...,,COM,,WIN,WRKS3
3-D Bar...,,3-D oszlop...,,COM,,WIN,WRKS3
3-D Line...,,3-D vonal...,,COM,,WIN,WRKS3
3-D Pie...,,3-D kör...,,COM,,WIN,WRKS3
Add Border,,Szegély látható,,COM,,WIN,WRKS3
Add Legend,,Jelmagyarázat látható,,COM,,WIN,WRKS3
Alignment...,,Igazítás...,,COM,,WIN,WRKS3
All Characters,,Minden jel,,COM,,WIN,WRKS3
Apply Query...\tF3,,Lekérdezés végrehajtása...\tF3,,COM,,WIN,WRKS3
Area...,,Terület...,,COM,,WIN,WRKS3
Arrange Icons,,Ikonok rendezése,,COM,,WIN,WRKS3
AutoFormat...,,Automatikus...,,COM,,WIN,WRKS3
Bar...,,Oszlop...,,COM,,WIN,WRKS3
Basic Skills,,Alapismeretek,,COM,,WIN,WRKS3
Bookmark Name...,,Könyvjelzõnév...,,COM,,WIN,WRKS3
Border...,,Szegély...,,COM,,WIN,WRKS3
Break,,Megszakítás,,COM,,WIN,WRKS3
Breaks and Spacing,,Térközök és tördelés,,COM,,WIN,WRKS3
Bring To Front,,Elõrehozás,,COM,,WIN,WRKS3
Calculate Now\tF9,,Számítás azonnal\tF9,,COM,,WIN,WRKS3
Cancel Recording,,Rögzítés megszakítása,,COM,,WIN,WRKS3
Cannot Undo,,Nem vonható vissza,,COM,,WIN,WRKS3
Capture Text...,,Szöveg befogása...,,COM,,WIN,WRKS3
Cascade,,Lépcsõzetes elrendezés,,COM,,WIN,WRKS3
Change Label,,Címkemódosítás,,COM,,WIN,WRKS3
Change Object Size,,Objektumméret,,COM,,WIN,WRKS3
Changing an entry,,Cellák módosítása,,COM,,WIN,WRKS3
Changing field entries,,Mezõk módosítása,,COM,,WIN,WRKS3
Chart...,,Diagram...,,COM,,WIN,WRKS3
Charting overview,,Diagram áttekintése,,COM,,WIN,WRKS3
Clear,,Tartalom törlése,,COM,,WIN,WRKS3
Clear Field Entry,,Mezõtartalom törlése,,COM,,WIN,WRKS3
Clear\tDel,,Törlés\tDel,,COM,,WIN,WRKS3
ClipArt...,,ClipArt...,,COM,,WIN,WRKS3
Close,,Bezárás,,COM,,WIN,WRKS3
Column Width,,Oszlopszélesség,,COM,,WIN,WRKS3
Columns...,,Hasábok...,,COM,,WIN,WRKS3
Combination...,,Kombinált...,,COM,,WIN,WRKS3
Communication,,Kommunikáció,,COM,,WIN,WRKS3
Contents,,Tartalom,,COM,,WIN,WRKS3
Copy Record\tCtrl+Shift+C,,Rekord másolása\tCtrl+Shift+C,,COM,,WIN,WRKS3
Copy Report Output,,Jelentés eredményének másolása,,COM,,WIN,WRKS3
Copy\tCtrl+C,,Másolás\tCtrl+C,,COM,,WIN,WRKS3
Create Label,,Címkekészítés,,COM,,WIN,WRKS3
Create New Chart...,,Új diagram készítése...,,COM,,WIN,WRKS3
Create New File...,,Új fájl létrehozása...,,COM,,WIN,WRKS3
Create New Query...,,Új lekérdezés készítése...,,COM,,WIN,WRKS3
Create New Report...,,Új jelentés készítése...,,COM,,WIN,WRKS3
Creating a chart,,Diagram készítése,,COM,,WIN,WRKS3
Creating a database,,Adatbázis készítése,,COM,,WIN,WRKS3
Creating a document,,Dokumentum készítése,,COM,,WIN,WRKS3
Creating a report,,Jelentés készítése,,COM,,WIN,WRKS3
Creating a spreadsheet,,Számolótábla készítése,,COM,,WIN,WRKS3
Cue Cards,,Kalauzok,,COM,,WIN,WRKS3
Customize Toolbar...,,Egyedi eszköztár...,,COM,,WIN,WRKS3
Cut Record\tCtrl+Shift+X,,Rekord kivágása\tCtrl+Shift+X,,COM,,WIN,WRKS3
Cut\tCtrl+X,,Kivágás\tCtrl+X,,COM,,WIN,WRKS3
Data Labels...,,Adatfeliratok...,,COM,,WIN,WRKS3
Database Field...,,Adatbázis mezõ...,,COM,,WIN,WRKS3
Delete Chart...,,Diagram törlése...,,COM,,WIN,WRKS3
Delete Column,,Oszloptörlés,,COM,,WIN,WRKS3
Delete Field,,Mezõ törlése,,COM,,WIN,WRKS3
Delete Label,,Címke törlése,,COM,,WIN,WRKS3
Delete Page Break,,Oldaltörés törlése,,COM,,WIN,WRKS3
Delete Query...,,Lekérdezés törlése...,,COM,,WIN,WRKS3
Delete Record,,Rekord törlése,,COM,,WIN,WRKS3
Delete Record/Field,,Rekord/mezõ törlése,,COM,,WIN,WRKS3
Delete Report...,,Jelentés törlése...,,COM,,WIN,WRKS3
Delete Row/Column,,Sor/oszlop törlése,,COM,,WIN,WRKS3
Delete Selection,,Kijelölés törlése,,COM,,WIN,WRKS3
Delete Selection,,Törlés,,COM,,WIN,WRKS3
Dial,,Tárcsázás,,COM,,WIN,WRKS3
Dial Again,,Tárcsázás ismétlése,,COM,,WIN,WRKS3
Dial This Number,,Kijelölt szám tárcsázása,,COM,,WIN,WRKS3
Display as Printed,,Nyomtatható színek,,COM,,WIN,WRKS3
Document Basics,,Dokumentumok áttekintése,,COM,,WIN,WRKS3
Draft View,,Vázlatos nézet,,COM,,WIN,WRKS3
Drag and Drop,,Húzás,,COM,,WIN,WRKS3
Drawing...,,Rajz...,,COM,,WIN,WRKS3
Duplicate Chart...,,Diagram megkettõzése...,,COM,,WIN,WRKS3
Duplicate Query...,,Lekérdezés megkettõzése...,,COM,,WIN,WRKS3
Duplicate Report...,,Jelentés megkettõzése...,,COM,,WIN,WRKS3
Easy Connect...,,Gyors kapcsolás...,,COM,,WIN,WRKS3
Edit Object,,Objektumszerkesztés,,COM,,WIN,WRKS3
Edit Script...,,Parancslista szerkesztése...,,COM,,WIN,WRKS3
Editing an entry,,Cellák módosítása,,COM,,WIN,WRKS3
End Capture Text,,Befogás megszakítása,,COM,,WIN,WRKS3
End Recording,,Rögzítés vége,,COM,,WIN,WRKS3
Envelopes and Labels...,,Borítékok és címkék...,,COM,,WIN,WRKS3
Exit && Return,,Kilépés és visszatérés,,COM,,WIN,WRKS3
Exit Works,,Kilépés a Worksbõl,,COM,,WIN,WRKS3
Field Entry...,,Mezõ tartalma...,,COM,,WIN,WRKS3
Field Lines,,Mezõsorok,,COM,,WIN,WRKS3
Field Name...,,Mezõnév...,,COM,,WIN,WRKS3
Field Name...,,Mezõnév...,,COM,,WIN,WRKS3
Field Size...,,Mezõméret...,,COM,,WIN,WRKS3
Field Summary...,,Összesítés...,,COM,,WIN,WRKS3
Field Width,,Mezõszélesség,,COM,,WIN,WRKS3
Field...,,Mezõ...,,COM,,WIN,WRKS3
Fill Down,,Kitöltés lefelé,,COM,,WIN,WRKS3
Fill Right,,Kitöltés jobbra,,COM,,WIN,WRKS3
Fill Series...,,Kitöltés sorozatban...,,COM,,WIN,WRKS3
Find Information...,,Információ keresése...,,COM,,WIN,WRKS3
Find...,,Keresés...,,COM,,WIN,WRKS3
