(keypad),,(Tn),,KEY,,WIN,STANDARD,
/ (keypad),,/ (Tn),,KEY,,WIN,STANDARD,
About,,Informazioni su,,COM,,WIN,STANDARD,
About Help,,Informazioni su,,COM,,WIN,STANDARD,
Accelerator,,Tasto di scelta,,GEN,,WIN,STANDARD,Tasto in combinazione con ALT per l'accesso a menu/comandi/opzioni dalla tastiera.
Access key,,Tasto di scelta,,GEN,,WIN,STANDARD,Combinazioni di ALT+tasto.
Accessories,,Accessori,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Active Window,,Finestra attiva,,COM,,WIN,STANDARD,
Active window,,Finestra attiva,,GEN,,WIN,STANDARD,Parte dello schermo.
Add,,Aggiungi,,BUT,,WIN,STANDARD,
Add Echo,,Eco,,COM,,WIN,STANDARD,
Alert message,,Messaggio di avviso,,GEN,,WIN,STANDARD,
Alignment,,Allineamento,,COM,,WIN,STANDARD,
All,,Tutto,,GEN,,WIN,STANDARD,Etichetta finestra di dialogo.
ALT,,Alt,,KEY,,WIN,STANDARD,
ALT GR,,Alt gr,,KEY,,WIN,STANDARD,
Always on Top,,Sempre in primo piano,,COM,,WIN,STANDARD,
Annotate,,Annota,,COM,,WIN,STANDARD,
Apple menu icon,,Icona del menu Apple,,GEN,,WIN,STANDARD,Disegno mela.
Application icon,,Icona dell'applicazione,,GEN,,WIN,STANDARD,Parte dello schermo.
Application window,,Finestra dell'applicazione,,GEN,,WIN,STANDARD,Parte dello schermo.
Application workspace,,Area di lavoro dell'applicazione,,GEN,,WIN,STANDARD,
Applications,,Applicazioni,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Apply,,Applica,,BUT,,WIN,STANDARD,
Apply,,Applicare,,GEN,,WIN,STANDARD,
Arrange,,Disporre,,GEN,,WIN,STANDARD,Gestione delle finestre.
Arrange All,,Disponi tutto,,COM,,WIN,STANDARD,Gestione delle finestre.
Arrow,,Freccia,,GEN,,WIN,STANDARD,Parte dello schermo.
Arrow pointer,,Puntatore a freccia,,GEN,,WIN,STANDARD,
Assign to Key,,Assegna al tasto,,COM,,WIN,STANDARD,
Assign to Menu,,Assegna al menu,,COM,,WIN,STANDARD,
Automatic link,,Collegamento automatico,,GEN,,WIN,STANDARD,
Autoscroll,,Scorrimento automatico,,GEN,,WIN,STANDARD,
Back,,Precedente,,BUT,,WIN,STANDARD,
BACKSPACE,,Backspace,,KEY,,WIN,STANDARD,
Bold,,Grassetto,,GEN,,WIN,STANDARD,Formattazione di carattere.
Bookmark,,Segnalibro,,MNU,,WIN,STANDARD,
Bookmark menu,,Segnalibro,,MNU,,WIN,STANDARD,
Border,,Bordo,,GEN,,WIN,STANDARD,Parte dello schermo.
Bottom window border,,Bordo inferiore della finestra,,GEN,,WIN,STANDARD,Parte dello schermo.
BREAK,,Inter,,KEY,,WIN,STANDARD,
Browse,,Sfoglia,,COM,,WIN,STANDARD,
Browse,,Sfogliare,,GEN,,WIN,STANDARD,
Button,,Pulsante,,GEN,,WIN,STANDARD,
Calculator,,Calcolatrice,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Calendar,,Agenda,,GEN,,WIN,STANDARD,Nome applicazione Windows.
Cancel,,Annulla,,BUT,,WIN,STANDARD,
Cancel,,Annullare,,GEN,,WIN,STANDARD,
Cancel Setup,,Esci,,BUT,,WIN,STANDARD,
