English,English Hotkey,Localised,Localised Hotkey,Category,Type,Environment,Product Name,Comments
| Footer,,Bunntekst for |,,TXT,,WIN,Access,Ver 2.0. Section label in form or report design
| Header,,Topptekst for |,,TXT,,WIN,Access,Ver 2.0. Section label in form or report design
| KB Free,,| kB ledig,,TXT,,WIN,Access,Ver 2.0.
Abort,A,Avbryt,A,BUT,,WIN,Access,Ver 2.0. Button on Message Box
About,,Om,,COM,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
About Microsoft Access...,A,Om Microsoft Access...,O,COM,,WIN,Access,Ver 2.0.
Access Key,,Hurtigtast,,TXT,,WIN,Access,Ver 2.0. Property or event
Access records,,Access-poster,,TXT,,WIN,Access,Ver 2.0.
Activate a window,,Aktiverer et vindu,,COM,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Active Control,,AktivKontroll,,TXT,,WIN,Access,Ver 2.0. Property or event
Active Form,,AktivtSkjema,,TXT,,WIN,Access,Ver 2.0. Property or event
Active Report,,AktivRapport,,TXT,,WIN,Access,Ver 2.0. Property or event
Add,A,Legg til,e,BUT,,WIN,Access,Ver 2.0.
Add >>,A,Legg til >>,e,BUT,,WIN,Access,Ver 2.0.
Add Colon,,LeggTilKolon,,TXT,,WIN,Access,Ver 2.0. Property or event
Add Control...,A,Legg til kontroll...,L,BUT,,WIN,Access,Ver 2.0.
Add Table,,Legg til tabell,,TDB,,WIN,Access,Ver 2.0.
Add Table,,Legg til tabell,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Add Table...,A,Legg til tabell...,L,COM,,WIN,Access,Ver 2.0.
Add Table...,,Legg til tabell...,,COM,,WIN,Access,Ver 2.0. Popup menu item (no hotkey)
Add-ins,,Tillegg,,TXT,,WIN,Access,Ver 2.0.
Add-ins,-,Tillegg,i,COM,,WIN,Access,Ver 2.0.
AddMenu,,LeggTilMeny,,MAC,,WIN,Access,Ver 2.0.
Admin,,Administrator,,TXT,,WIN,Access,Ver 2.0. List box item in Permissions dialog
Administer,s,Administrere,A,BUT,,WIN,Access,Ver 2.0.
Admins,,Administratorer,,TXT,,WIN,Access,Ver 2.0. List box item in Permissions dialog
After Del Confirm,,EtterSlettebekreftelse,,TXT,,WIN,Access,Ver 2.0. Property or event
After Insert,,EtterInnsetting,,TXT,,WIN,Access,Ver 2.0. Property or event
After Update,,EtterOppdatering,,TXT,,WIN,Access,Ver 2.0. Property or event
Align,A,Juster,J,COM,,WIN,Access,Ver 2.0.
Align,,Juster,,COM,,WIN,Access,Ver 2.0. Could be used as popup menu item (no hotkey) or tooltip text
Align Controls Bottom,,Bunnjuster kontroller,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Align Controls Left,,Venstrejuster kontroller,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Align Controls Right,,Høyrejuster kontroller,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Align Controls Top,,Toppjuster kontroller,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Align To Grid,,Juster til rutenett,,GBN,,WIN,Access,Ver 2.0. Tooltip text
All Files (*.*),,Alle filer (*.*),,TXT,,WIN,Access,Ver 2.0.
All Files (*.*)|*.*|,,Alle filer (*.*)|*.*|,,TXT,,WIN,Access,Ver 2.0. List box item
All Forms,,Alle skjemaer,,TXT,,WIN,Access,Ver 2.0.
All Macros,,Alle makroer,,TXT,,WIN,Access,Ver 2.0.
All Properties,,\@Alle egenskaper\@;255;\@Dataegenskaper\@;2;\@Designegenskaper\@;1;\@Hendelsesegenskaper\@;4;\@Andre egenskaper\@;8,,TXT,,WIN,Access,Ver 2.0. Listbox item
All Queries,,Alle spørringer,,TXT,,WIN,Access,Ver 2.0.
All Records,,Alle poster,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
All Reports,,Alle rapporter,,TXT,,WIN,Access,Ver 2.0.
All Tables,,Alle tabeller,,TXT,,WIN,Access,Ver 2.0.
Allow Editing,E,Tillat redigering,T,COM,,WIN,Access,Ver 2.0.
Allow Editing,,Tillat redigering,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Allow Filters,,TillatFilter,,TXT,,WIN,Access,Ver 2.0. Property or event
Allow Updating,,TillatOppdatering,,TXT,,WIN,Access,Ver 2.0. Property or event
Allow Zero Length,,TillatNullengde,,TXT,,WIN,Access,Ver 2.0. Property or event
Analyze It with MS Excel,,Analyser data med MS Excel,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item or toolbar button
Another Database:,A,Annen database:,A,BUT,,WIN,Access,Ver 2.0.
Any Part of Field,,Del av feltet,,TXT,,WIN,Access,Ver 2.0. List box item
Append,,Føy til,,TXT,,WIN,Access,Ver 2.0. Menu item command (only appears in error messageboxes)
Append Data to Existing Table,A,Føy data til eksisterende tabell,F,BUT,,WIN,Access,Ver 2.0.
Append Query,,Føy til-spørring,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Append Query: ,,Føy til-spørring: ,,TDB,,WIN,Access,Ver 2.0. Type of query being designed
Append To,,Føy til,,BUT,,WIN,Access,Ver 2.0.
Append To:,,Føy til:,,TXT,,WIN,Access,Ver 2.0. Text in QBE grid
Append...,p,Føy til...,i,COM,,WIN,Access,Ver 2.0.
Application,,Program,,TXT,,WIN,Access,Ver 2.0. Property or event
Apply,A,Bruk,B,BUT,,WIN,Access,Ver 2.0.
Apply Default,D,Bruk standard,B,COM,,WIN,Access,Ver 2.0.
Apply Default,,Bruk standard,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Apply Filter/Sort,y,Bruk filter/sortering,f,COM,,WIN,Access,Ver 2.0.
Apply Filter/Sort,,Bruk filter/sortering,,GBN,,WIN,Access,Ver 2.0. Tooltip text
ApplyFilter,,BrukFilter,,MAC,,WIN,Access,Ver 2.0.
Arabic,,Arabisk,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
Arithmetic,,Aritmetiske,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Arrange Icons,A,Ordne ikoner,O,COM,,WIN,Access,Ver 2.0.
Arrange Icons,,Ordne ikoner,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Arrays,,Matriser,,TXT,,WIN,Access,Ver 2.0. Strings found in Expression Builder
Arrow Key Behavior,,Piltaster,,TXT,,WIN,Access,Ver 2.0. Options Preference Items
As:,A,Som:,S,DIA,,WIN,Access,Ver 2.0.
Ascending,A,Stigende,S,COM,,WIN,Access,Ver 2.0. Item in a submenu
Ascending,,Stigende,,TXT,,WIN,Access,Ver 2.0. List box item
Assign,A,Tilordne,T,BUT,,WIN,Access,Ver 2.0.
Assign Permissions,,Tilordne tillatelser,,GBN,,WIN,Access,Ver 2.0. Tooltip text
Auto,,Automatisk,,TXT,,WIN,Access,Ver 2.0. Dropdown values in listbox
Auto Activate,,Autoaktivering,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Center,,Automidtstill,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Expand,,Autoutvidelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Label,,Autoetikett,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Order,A,Autorekkefølge,A,BUT,,WIN,Access,Ver 2.0.
Auto Repeat,,Autogjentagelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Resize,,Autostørrelse,,TXT,,WIN,Access,Ver 2.0. Property or event
Auto Start,,Autostart,,ARG,,WIN,Access,Ver 2.0. Macro action argument
Auto Tab,,AutoTab,,TXT,,WIN,Access,Ver 2.0. Property or event
Autodialer,,Autooppringing,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoForm,,Autoskjema,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoKeys,,Autotaster,,TXT,,WIN,Access,Ver 2.0. Dropdown value in listbox
AutoReport,,Autorapport,,TXT,,WIN,Access,Ver 2.0. Status bar text for menu item
AutoStart,A,AutoStart,A,BUT,,WIN,Access,Ver 2.0.
Available Groups:,v,Tilgjengelige grupper:,T,DIA,,WIN,Access,Ver 2.0.
Avg,,Gjennomsnitt,,FUN,,WIN,Access,Ver 2.0.
Back Color,,Bakgrunnsfarge,,TXT,,WIN,Access,Ver 2.0. Property or event
Back Style,,Bakgrunnsstil,,TXT,,WIN,Access,Ver 2.0. Property or event
