abbreviation,,abreviatura,,GEN,,WIN,Standard
About,,Acerca de,,COM,,WIN,Standard
access key,,tecla de acceso,,GEN,,WIN,Standard
accessories,,accesorios,,GEN,,WIN,Standard
acronym,,acrónimo,,GEN,,WIN,Standard
active window,,ventana activa,,GEN,,WIN,Standard
add,,agregar,,GEN,,WIN,Standard
add-in,,macro automática,,GEN,,WIN,Standard
add-on,,complemento,,GEN,,WIN,Standard
administer,,administrar,,GEN,,WIN,Standard
administrator,,administrador,,GEN,,WIN,Standard
Administrator’s Guide,,Manual del administrador,,GEN,,WIN,Standard
Administrator’s Reference,,Referencia del administrador,,GEN,,WIN,Standard
alias,,alias,,GEN,,WIN,Standard
Alignment,,alineación,,DIA,,WIN,Standard
All,,Todo,,DIA,,WIN,Standard
alphabetizing,,alfabetización,,GEN,,WIN,Standard
ALT,,ALT,,KEY,,WIN,Standard
ALT GR,,ALT GR,,KEY,,WIN,Standard
Always on Top,,Siempre visible,,COM,,WIN,Standard
annotate,,anotar,,COM,,WIN,Standard
API (Application Program Interface),,Interfaz de programa de aplicación,,GEN,,WIN,Standard
apostrophe,,apóstrofo,,GEN,,WIN,Standard
apple menu,,menú Apple,,GEN,,WIN,Standard
application,,aplicación,,GEN,,WIN,Standard
application control menu,,menú de control de la aplicación,,GEN,,WIN,Standard
application icon,,icono de la aplicación,,GEN,,WIN,Standard
application window,,ventana de la aplicación,,GEN,,WIN,Standard
apply,,aplicar,,GEN,,WIN,Standard
argument,,argumento,,GEN,,WIN,Standard
arrange,,organizar,,GEN,,WIN,Standard
Arrange All,,Organizar todo,,COM,,WIN,Standard
arrow,,flecha,,GEN,,WIN,Standard,,
Arrow Keys,,Teclas de dirección,,KEY,,WIN,Standard,,
art,,arte,,GEN,,WIN,Standard,,
article,,artículo,,GEN,,WIN,Standard,,
assigning a device name,,asignación de un nombre de dispositivo,,GEN,,WIN,Standard,,
automatic link,,vínculo automático,,GEN,,WIN,Standard,,
autoscroll,,desplazamiento automático,,GEN,,WIN,Standard,,
Back,,Atrás,Z,COM,,WIN,Standard,,
back up,,hacer una copia de seguridad,,GEN,V,WIN,Standard,,To make a backup copy.
back-up copy,,copia de seguridad,,GEN,N,WIN,Standard,,"A duplicate copy of a program, disk or data."
backslash,,barra inversa,,GEN,N,WIN,Standard,,barra diagonal inversa
BACKSPACE ,,RETROCESO  ,,KEY,,WIN,Standard,,(RETR)
backup,,copia de seguridad,,GEN,N,WIN,Standard,,"A duplicate copy of a program, disk or data."
backward compatible,,compatible con lo anterior,,GEN,,WIN,Standard,,
bar,,barra,,GEN,N,WIN,Standard,,A part of the interface that contains buttons or symbols that the user can manipulate.
bar code,,código de barras,,GEN,N,WIN,Standard,,"The special identification code printed as a set of vertical bars of differning widths on books, groceries and other products. "
BBS,,servicio de boletines electrónicos,,GEN ,,WIN,Standard,,
bit,,bit,,GEN,N,WIN,Standard,,"Short for ""binary digit""; either 1 or 0 in the binary number system."
bitmap,,mapa de bits,,GEN,N,WIN,Standard,,
black-and-white,,blanco y negro,,GEN,ADJ,WIN,Standard,,
blank line,,línea en blanco,,GEN,N,WIN,Standard,,
blank space,,espacio en blanco,,GEN,N,WIN,Standard,,
blocking,,creación de bloques,,GEN,V,WIN,Standard,,In data storage
blocking,,bloqueo,,GEN ,,WIN,Standard,,In communications
bold,,negrita,,GEN,ADJ,WIN,Standard,,
book titles,,títulos de libros ,,GEN,N,WIN,Standard,,
Bookmark,,Marca-texto,T,COM,,WIN,Standard,,
bookmark,,marcador,,GEN,N,WIN,Standard,,
Boolean,,booleano,,GEN,ADJ,WIN,Standard,,
border,,borde,,GEN,N,WIN,Standard,,
bottom window border,,borde inferior de la ventana,,GEN,N,WIN,Standard,,
branching within procedures,,"bifurcación, ramificación",,GEN,,WIN,Standard,,"bifurcación, when talking about two possibilities; ramificación, when there are more than two options"
BREAK,,INTERRUMPIR  (INTER),,KEY,,WIN,Standard,, (INTER)
broken link,,vínculo roto ,,GEN,,WIN,Standard,,
browse,,examinar,,GEN,V,WIN,Standard,,To scan a database or list of files 
buffer,,búfer,,GEN,N,WIN,Standard,,Plural: búferes
built-in,,incorporado,,GEN,ADJ,WIN,Standard,,
busy,,ocupado,,GEN,ADJ,WIN,Standard,,
button,,botón,,GEN,N,WIN,Standard,,
byte,,byte,,GEN,N,WIN,Standard,,"A unit of information, consisting of 8 bits."
Calculator,,Calculadora,,GEN,N,WIN,Standard,,
Calendar,,Calendario,,GEN,N,WIN,Standard,,
callback function,,función de repetición de llamada,,GEN,N,WIN,Standard,,
callout,,pie de gráfico,,GEN,N,WIN,Standard,,If located down to the graphic
callout,,llamada,,GEN,N,WIN,Standard,,Located not down to the graphic
cancel,,cancelar,,GEN,V,WIN,Standard,,
cancel box,,cuadro de cancelación,,GEN,,WIN,Standard,,It's a box located in the Formula Bar with a red X in it
capitalization,,uso de mayúsculas,,GEN,N,WIN,Standard,,
CAPS LOCK,,BLOQ MAYÚS,,KEY,,WIN,Standard,,
Caption,,Título,,GEN,,WIN,Standard,,
Cardfile,,Fichero,,COM,,WIN,Standard,,
caret,,símbolo de intercalación,,GEN,,WIN,Standard,, (^)
carriage return,,retorno de carro,,GEN,,WIN,Standard,,
carry out,,ejecutar,,GEN,,WIN,Standard,,[(una acción]
Cascade,,Cascada,L,COM,,WIN,Standard,,
cascading menu,,menú en cascada,,GEN,,WIN,Standard,,
cascading windows,,ventanas en cascada,,GEN,,WIN,Standard,,
case sensitive,,distinguir mayúsculas de minúsculas,,GEN,,WIN,Standard,,
caution,,precaución ,,GEN,,WIN,Standard,,"A warning message in manuals or software, that start with ""Caution""."
CBT (Computer-based tutorial),,Tutorial,,GEN,,WIN,Standard,,
CD-ROM (Compact disc read-only memory),,CD-ROM (disco compacto de memoria de sólo lectura),,GEN,,WIN,Standard,,
CD-ROM drive,,unidad de CD-ROM,,GEN,,WIN,Standard,,
cell,,celda,,GEN,,WIN,Standard,,In spreadsheets the intersection of a row and a column.
centered,,centrado,,GEN,ADJ,WIN,Standard,,
CGA (color graphics adapter),,adaptador de gráficos en color (CGA),,GEN,,WIN,Standard,,
change,,cambiar,,GEN,V,WIN,Standard,,
chapter titles,,títulos de capítulos,,GEN,N,WIN,Standard,,
character,,carácter,,GEN,N,WIN,Standard,,
character map,,mapa de caracteres,,GEN,N,WIN,Standard,,
character set,,juego de caracteres,,GEN,N,WIN,Standard,,
chart,,"gráfico, diagrama",,GEN,N,WIN,Standard,,"Use diagrama when conflicting with ""graphic"""
chart wizard,,Asistente para gráficos,,GEN,N,WIN,Standard,,
check,,comprobar,,GEN,V,WIN,Standard,,"Don't use verificar (verify), unless for checking if something is true of false. "
check,,activar,,GEN,V,WIN,Standard,,Referred to boxes
check box,,casilla de verificación,,GEN,N,WIN,Standard,,
check mark,,marca de verificación,,GEN,N,WIN,Standard,,
checked command,,comando activado,,GEN,,WIN,Standard,,
chevrons,,comillas angulares ,,GEN,N,WIN,Standard,,
child,,hijo,,GEN,,WIN,Standard,,
choose,,elegir,,GEN,V,WIN,Standard,,
choosing a command,,elegir un comando,,GEN,,WIN,Standard,,
choosing icons,,eligir iconos,,GEN,,WIN,Standard,,
class,,clase,,GEN,N,WIN,Standard,,
Clear,,Borrar,L,COM,,WIN,Standard,,
clear,,borrar,,GEN,V,WIN,Standard,,
CLEAR,,BORRAR,,KEY,,WIN,Standard,,
Clear All,,Borrar todo,A,COM,,WIN,Standard,,
click,,hacer clic,,GEN,V,WIN,Standard,,
client,,cliente,,GEN,N,WIN,Standard,,
client application,,aplicación cliente,,GEN,,WIN,Standard,,In OLE
Clipboard,,Portapapeles,,GEN,N,WIN,Standard,,
Clipboard Viewer,,Visor del Portapapeles,,GEN,N,WIN,Standard,,
clock,,reloj,,GEN,N,WIN,Standard,,
Close,,Cerrar,L,COM,,WIN,Standard,,
close,,cerrar,,GEN,V,WIN,Standard,,
Close All,,Cerrar todo,A,COM,,WIN,Standard,,
close box,,cuadro de cierre,,GEN,N,WIN,Standard,,
code,,código,,GEN,N,WIN,Standard,,
code page,,página de códigos,,GEN ,,WIN,Standard,,
COL (Column),,COL (Columna),,GEN,,WIN,Standard,,
cold boot,,inicialización en frío,,GEN,N,WIN,Standard,,A startup process that begins with turning on the computer's power.
cold boot,,iniciación en frío,,GEN ,,WIN,Standard,,
collapse,,contraer,,GEN,V,WIN,Standard,,
Collate copies,,Intercalar copias,t,COM,,WIN,Standard,,
colon,,dos puntos,,GEN,N,WIN,Standard,,
color monitor,,monitor en color,,GEN,N,WIN,Standard,,
column,,columna,,GEN,N,WIN,Standard,,A series of items arranged vertically in some type of framework.
COM,,COM,,GEN,,WIN,Standard,,Logical device name for communications.
combo box,,cuadro combinado,,GEN,N,WIN,Standard,,
comma,,coma,,GEN,N,WIN,Standard,,
command,,comando,,GEN,N,WIN,Standard,,
COMMAND,,COMANDO,,KEY,,WIN,Standard,,
command and menu names in text,,nombres de comandos y menús en el texto,,GEN,,WIN,Standard,,
command button,,botón de comando,,GEN,N,WIN,Standard,,
command line,,línea de comandos,,GEN,N,WIN,Standard,,
command prompt,,símbolo del sistema,,GEN,N,WIN,Standard,,
command separator,,separador de comandos,,GEN,N,WIN,Standard,,
command-line syntax,,sintaxis de la línea de comandos,,GEN,N,WIN,Standard,,
communication device,,dispositivo de comunicación,,GEN,N,WIN,Standard,,
communication request,,petición de comunicación,,GEN,N,WIN,Standard,,
communication-device queue,,cola de dispositivo de comunicación,,GEN,N,WIN,Standard,,
company,,empresa,,GEN ,N,WIN,Standard,,
compatibility,,compatibilidad,,GEN,N,WIN,Standard,,
compatible,,compatible,,GEN,ADJ,WIN,Standard,,
compile,,compilar,,GEN,V,WIN,Standard,,
compile time,,tiempo de compilación,,GEN,N,WIN,Standard,,Compilación 
compiler,,compilador,,GEN,N,WIN,Standard,,
complete installation,,instalación completa,,GEN,N,WIN,Standard,,
comprehensive index,,índice general,,GEN,N,WIN,Standard,,
configuration,,configuración,,GEN,N,WIN,Standard,,
connect to a server,,conectarse a un servidor,,GEN,,WIN,Standard,,
connect your workstation,,conectar su estación de trabajo,,GEN,,WIN,Standard,,
container,,contenedor,,GEN,N,WIN,Standard,,
container application,,aplicación contenedora,,GEN,,WIN,Standard,,
container document,,documento contenedor,,GEN,,WIN,Standard,,
content,,contenido,,GEN,N,WIN,Standard,,
Contents,,Contenido,I,COM,,WIN,Standard,,
context-sensitive help,,ayuda interactiva,,GEN,,WIN,Standard,,
